fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1720,car,0.93,tensor(1.),478,274,956,584,"BES 1 YT
",0.55,76,188,188,232,"BES 1 YT
"
1720,car,0.79,tensor(2.),1125,304,1210,371,,0,0,0,0,0,
1720,car,0.72,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1721,car,0.93,tensor(1.),427,272,941,600,,0.72,79,202,198,246,
1721,car,0.77,tensor(2.),1125,304,1210,372,,0,0,0,0,0,
1721,car,0.72,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1721,person,0.64,tensor(4.),1780,322,1824,417,,0,0,0,0,0,
1722,car,0.94,tensor(1.),372,271,925,615,,0.38,77,212,204,262,
1722,car,0.77,tensor(2.),1123,303,1210,373,,0,0,0,0,0,
1722,car,0.72,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1722,person,0.62,tensor(4.),1781,323,1824,416,,0,0,0,0,0,
1723,car,0.93,tensor(1.),303,272,911,640,,0.26,85,219,220,278,
1723,car,0.77,tensor(2.),1122,303,1208,374,,0,0,0,0,0,
1723,car,0.72,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1724,car,0.93,tensor(1.),228,262,894,661,,0.2,89,245,233,307,
1724,car,0.78,tensor(2.),1119,303,1207,375,,0,0,0,0,0,
1724,car,0.72,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1725,car,0.93,tensor(1.),141,260,870,694,"ES
",0.18,88,259,245,332,"ES
"
1725,car,0.77,tensor(2.),1117,303,1208,376,,0,0,0,0,0,
1725,car,0.72,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1726,car,0.93,tensor(1.),32,253,850,723,,0,0,0,0,0,
